epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,8205.07,1.21519,1.64454,0.01549,0.69811,0.60896,0.67874,0.4683,1.17125,1.26778,0.02058,0.0004555,0.0004555,0.0004555
57,8350.38,1.20377,1.62412,0.01538,0.70679,0.60789,0.6812,0.46992,1.17198,1.26143,0.0206,0.0004456,0.0004456,0.0004456
58,8495.85,1.19997,1.62215,0.01527,0.70272,0.61477,0.68349,0.47246,1.16983,1.26002,0.02055,0.0004357,0.0004357,0.0004357
59,8641.45,1.19189,1.6184,0.01527,0.69994,0.6173,0.6841,0.4735,1.16805,1.258,0.0205,0.0004258,0.0004258,0.0004258
60,8786.81,1.19516,1.60657,0.01523,0.69199,0.62315,0.68481,0.47405,1.16535,1.25626,0.02044,0.0004159,0.0004159,0.0004159
61,8931.56,1.19436,1.5968,0.01525,0.6959,0.62523,0.68587,0.47532,1.16428,1.25305,0.02041,0.000406,0.000406,0.000406
62,9076.46,1.19304,1.59584,0.01513,0.70173,0.62013,0.68743,0.4762,1.16236,1.25212,0.02039,0.0003961,0.0003961,0.0003961
63,9221.49,1.19795,1.58612,0.01515,0.69483,0.6231,0.68798,0.47736,1.16172,1.24697,0.02037,0.0003862,0.0003862,0.0003862
64,9366.69,1.18437,1.5714,0.01505,0.70022,0.62148,0.68942,0.47871,1.16109,1.2432,0.02034,0.0003763,0.0003763,0.0003763
65,9511.8,1.18108,1.56629,0.01503,0.69587,0.6263,0.69073,0.48011,1.15942,1.24128,0.02031,0.0003664,0.0003664,0.0003664
66,9657.33,1.18659,1.56645,0.01512,0.69914,0.62381,0.69104,0.48016,1.15853,1.23931,0.02029,0.0003565,0.0003565,0.0003565
67,9802.72,1.17633,1.55314,0.01499,0.70082,0.62493,0.69213,0.48156,1.15559,1.24014,0.02023,0.0003466,0.0003466,0.0003466
68,9948.17,1.17508,1.54751,0.01491,0.69591,0.63001,0.6923,0.48191,1.15534,1.23669,0.02022,0.0003367,0.0003367,0.0003367
69,10093.4,1.16876,1.54058,0.01481,0.70973,0.61777,0.69322,0.48274,1.15432,1.23492,0.0202,0.0003268,0.0003268,0.0003268
70,10239.8,1.16854,1.53702,0.01478,0.71607,0.61623,0.69416,0.48339,1.15392,1.23291,0.02018,0.0003169,0.0003169,0.0003169
71,10385.5,1.16969,1.52426,0.01479,0.70795,0.62374,0.69508,0.48424,1.15394,1.22867,0.02017,0.000307,0.000307,0.000307
72,10533.5,1.16148,1.51968,0.01469,0.71393,0.62192,0.69577,0.48467,1.1547,1.22549,0.02019,0.0002971,0.0002971,0.0002971
73,10680,1.15939,1.52299,0.01455,0.71069,0.62407,0.69636,0.48551,1.15313,1.22353,0.02015,0.0002872,0.0002872,0.0002872
74,10824.9,1.16102,1.50984,0.01458,0.70774,0.62823,0.69752,0.48655,1.15317,1.22186,0.02015,0.0002773,0.0002773,0.0002773
75,10971.3,1.14872,1.50096,0.01456,0.71101,0.62762,0.69818,0.48739,1.1532,1.22034,0.02015,0.0002674,0.0002674,0.0002674
76,11117.3,1.15985,1.50234,0.01452,0.70806,0.63101,0.69901,0.48821,1.15262,1.2202,0.02014,0.0002575,0.0002575,0.0002575
77,11264.5,1.15603,1.49377,0.01452,0.71124,0.62734,0.6995,0.48853,1.1521,1.2197,0.02012,0.0002476,0.0002476,0.0002476
78,11409.9,1.14917,1.48875,0.01441,0.70484,0.63262,0.69941,0.48901,1.1514,1.21932,0.0201,0.0002377,0.0002377,0.0002377
79,11556.2,1.14727,1.48445,0.01447,0.70928,0.62955,0.69979,0.48912,1.15111,1.21745,0.02009,0.0002278,0.0002278,0.0002278
80,11701.6,1.14711,1.47539,0.01434,0.71439,0.62568,0.7,0.48938,1.15081,1.21684,0.02007,0.0002179,0.0002179,0.0002179
81,11847.3,1.13952,1.46668,0.01432,0.71568,0.62703,0.70047,0.48966,1.15113,1.21465,0.02008,0.000208,0.000208,0.000208
82,11993.4,1.14383,1.47629,0.01432,0.71318,0.63042,0.70104,0.49006,1.15096,1.21254,0.02007,0.0001981,0.0001981,0.0001981
83,12138.6,1.13695,1.46566,0.01418,0.71686,0.62879,0.70191,0.4907,1.15076,1.21033,0.02005,0.0001882,0.0001882,0.0001882
84,12284.1,1.14137,1.46564,0.01434,0.72318,0.62624,0.70237,0.49107,1.14988,1.20997,0.02002,0.0001783,0.0001783,0.0001783
85,12429.4,1.13666,1.45414,0.01432,0.72183,0.62782,0.70307,0.49143,1.14961,1.20924,0.02002,0.0001684,0.0001684,0.0001684
86,12565.6,1.12202,1.19619,0.01711,0.71831,0.63012,0.70352,0.49183,1.14881,1.2085,0.02,0.0001585,0.0001585,0.0001585
87,12701.8,1.10709,1.15104,0.01672,0.71977,0.63203,0.70402,0.49252,1.14859,1.20599,0.02,0.0001486,0.0001486,0.0001486
88,12838.1,1.09047,1.1315,0.01626,0.72527,0.6292,0.70445,0.49306,1.14836,1.20352,0.01998,0.0001387,0.0001387,0.0001387
89,12974.8,1.08388,1.11611,0.01619,0.73055,0.62698,0.70464,0.49359,1.14756,1.20209,0.01996,0.0001288,0.0001288,0.0001288
90,13111.6,1.07913,1.10924,0.0161,0.73013,0.62583,0.705,0.49404,1.14684,1.20158,0.01994,0.0001189,0.0001189,0.0001189
91,13248.5,1.07908,1.10229,0.01605,0.72708,0.62918,0.70548,0.49451,1.14623,1.19908,0.0199,0.000109,0.000109,0.000109
92,13385.3,1.07587,1.08693,0.01587,0.72668,0.63023,0.70605,0.49514,1.14579,1.19637,0.01989,9.91e-05,9.91e-05,9.91e-05
93,13521.5,1.07116,1.08683,0.01579,0.72854,0.6315,0.70713,0.49588,1.14491,1.19473,0.01986,8.92e-05,8.92e-05,8.92e-05
94,13657.9,1.06841,1.07962,0.01568,0.73134,0.63156,0.7074,0.49609,1.1441,1.19399,0.01982,7.93e-05,7.93e-05,7.93e-05
95,13794.4,1.05965,1.08667,0.01574,0.73171,0.63017,0.70747,0.49603,1.144,1.19221,0.01983,6.94e-05,6.94e-05,6.94e-05
96,13931.5,1.05857,1.06776,0.01558,0.72979,0.63131,0.7075,0.49609,1.1436,1.19072,0.0198,5.95e-05,5.95e-05,5.95e-05
97,14067.5,1.05971,1.06295,0.01542,0.73277,0.63096,0.70805,0.49646,1.14384,1.18821,0.01981,4.96e-05,4.96e-05,4.96e-05
98,14203.7,1.05274,1.05453,0.01545,0.73375,0.63113,0.70838,0.49688,1.14427,1.18511,0.01981,3.97e-05,3.97e-05,3.97e-05
99,14340.9,1.05362,1.05023,0.01545,0.73132,0.63585,0.70869,0.49707,1.14362,1.18535,0.01979,2.98e-05,2.98e-05,2.98e-05
100,14478.2,1.05536,1.05599,0.0154,0.72992,0.63606,0.70886,0.49732,1.1435,1.18403,0.01978,1.99e-05,1.99e-05,1.99e-05
