epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,14798.5,1.15457,1.57156,0.01471,0.72397,0.60479,0.68058,0.46918,1.16142,1.25981,0.02057,0.0002674,0.0002674,0.0002674
76,14966.2,1.16603,1.5737,0.01469,0.72243,0.60725,0.6814,0.47003,1.16039,1.25872,0.02055,0.0002575,0.0002575,0.0002575
77,15152.6,1.16108,1.55424,0.01471,0.72267,0.60828,0.68197,0.47057,1.15958,1.25709,0.02052,0.0002476,0.0002476,0.0002476
78,15376.4,1.15349,1.55474,0.0147,0.71881,0.60937,0.68237,0.47118,1.1603,1.25348,0.02054,0.0002377,0.0002377,0.0002377
79,15600.4,1.15138,1.5579,0.01465,0.72266,0.60779,0.6832,0.4721,1.15922,1.25269,0.02051,0.0002278,0.0002278,0.0002278
80,15824,1.15142,1.55286,0.01454,0.7248,0.6061,0.68342,0.47251,1.15836,1.25132,0.0205,0.0002179,0.0002179,0.0002179
81,16046.8,1.14307,1.53822,0.01454,0.72307,0.60616,0.68358,0.47276,1.15836,1.25011,0.02049,0.000208,0.000208,0.000208
82,16270.2,1.14566,1.53492,0.01454,0.72904,0.60434,0.68464,0.47363,1.15839,1.2481,0.02048,0.0001981,0.0001981,0.0001981
83,16493.1,1.14446,1.52777,0.01449,0.72709,0.60473,0.6851,0.47419,1.15739,1.24752,0.02046,0.0001882,0.0001882,0.0001882
84,16715.8,1.13714,1.51727,0.01444,0.72448,0.60529,0.68588,0.47497,1.15673,1.24703,0.02044,0.0001783,0.0001783,0.0001783
85,16939,1.14091,1.52302,0.01451,0.7236,0.60618,0.68605,0.47527,1.15596,1.24707,0.02042,0.0001684,0.0001684,0.0001684
86,17150.2,1.12181,1.247,0.0173,0.72758,0.60435,0.68605,0.47534,1.15574,1.24516,0.02041,0.0001585,0.0001585,0.0001585
87,17361.6,1.10624,1.20783,0.01699,0.72946,0.60525,0.68634,0.47582,1.15442,1.24429,0.02039,0.0001486,0.0001486,0.0001486
88,17572.5,1.09194,1.18664,0.01654,0.72944,0.60715,0.68712,0.47633,1.15295,1.2431,0.02035,0.0001387,0.0001387,0.0001387
89,17783.8,1.08594,1.17729,0.01651,0.73828,0.60253,0.68803,0.4773,1.15316,1.23978,0.02034,0.0001288,0.0001288,0.0001288
90,17995.3,1.08317,1.16956,0.01637,0.73902,0.5997,0.68782,0.47765,1.15255,1.23795,0.02032,0.0001189,0.0001189,0.0001189
91,18206.4,1.07992,1.15814,0.01628,0.73623,0.60242,0.68861,0.47838,1.15106,1.23628,0.02028,0.000109,0.000109,0.000109
92,18417.4,1.07726,1.15263,0.01615,0.74155,0.59954,0.68891,0.47879,1.15045,1.23463,0.02026,9.91e-05,9.91e-05,9.91e-05
93,18628.7,1.07509,1.14528,0.01613,0.73856,0.60451,0.68967,0.47969,1.15083,1.23177,0.02027,8.92e-05,8.92e-05,8.92e-05
94,18839.9,1.06988,1.13632,0.01596,0.72692,0.61213,0.69058,0.48073,1.15071,1.22866,0.02025,7.93e-05,7.93e-05,7.93e-05
95,19051.4,1.06376,1.13995,0.01601,0.7333,0.61168,0.69099,0.48115,1.1505,1.22625,0.02025,6.94e-05,6.94e-05,6.94e-05
96,19262.5,1.06443,1.1289,0.01591,0.73205,0.61288,0.69151,0.48184,1.15014,1.22555,0.02024,5.95e-05,5.95e-05,5.95e-05
97,19473.5,1.06781,1.12341,0.01578,0.73029,0.61261,0.69193,0.48238,1.14937,1.22453,0.02022,4.96e-05,4.96e-05,4.96e-05
98,19684.6,1.05835,1.11411,0.0157,0.72945,0.61508,0.69229,0.48296,1.149,1.22361,0.02021,3.97e-05,3.97e-05,3.97e-05
99,19896.3,1.05823,1.11338,0.01577,0.7309,0.61618,0.69276,0.48345,1.14847,1.22275,0.02019,2.98e-05,2.98e-05,2.98e-05
100,20107.6,1.05572,1.10598,0.01565,0.73757,0.61103,0.69319,0.48402,1.14897,1.21941,0.0202,1.99e-05,1.99e-05,1.99e-05
